P	Q
7.6	4.699
0.5	3.7846
1	3.1242
13	2.9718
0	2.9718
0	2.794
0	2.5908
2	2.54
14.2	2.3876
0	2.0828
0	1.905
0	1.8288
0.3	1.778
17.8	1.7272
29.7	2.2352
34.3	8.763
51.8	26.416
14.7	28.3972
25.7	25.4508
49	17.7038
13.7	13.716
0	8.3058
7.1	6.477
6.9	7.2136
15.7	10.6426
8.4	9.7536
25.4	10.9474
0	10.8966
0	6.858
0	5.9182
0	5.0038
0	3.9624
0	3.2512
0	2.8194
0	2.4384
0	2.159
0	1.9558
10.7	1.8796
23.9	2.3622
18.5	3.4544
57.2	9.4996
30.2	21.2852
40.6	18.8214
25.1	24.9174
0.5	17.4752
0	9.8552
0	5.8674
0	4.0894
0	3.175
6.4	2.8448
3	2.4638
0.5	2.159
0	1.905
15.2	1.8542
11.9	2.413
23.6	3.4798
26.7	6.8326
20.3	7.493
0	6.9342
11.2	5.8674
16.3	5.8166
3.8	6.2992
34	9.7028
9.9	10.8204
2	7.1882
0	4.826
2.8	3.5814
5.6	2.9972
0	2.667
15.2	2.413
0.5	2.4892
0.3	2.1336
0.8	1.8796
4.6	1.7526
1.5	1.6002
8.6	1.4478
3.6	1.6002
0	1.3462
21.1	1.5494
8.1	3.3782
0	2.6924
0	2.2098
0	1.8796
7.6	1.6764
29	2.5146
28.4	9.6266
0	6.9596
4.8	3.937
18.5	3.4544
24.1	4.6228
1.8	6.9342
0	4.9276
55.1	10.541
15.2	14.0208
8.4	10.4902
8.9	7.3914
7.6	5.461
15	5.1562
9.9	6.4262
0.5	5.6134
0	3.9624
0	3.0226
0	2.5146
0	2.159
0	1.9558
0	1.778
0	1.6002
0	1.397
0	1.1938
0	1.0668
0	0.9398
0	0.889
0	0.8636
0	0.8128
0	0.7874
0	0.762
0	0.7112
17.5	0.8128
1.8	0.8128
2	0.7112
0	0.6858
0	0.6604
1.8	0.635
0.8	0.6096
0	0.6096
0	0.5842
0	0.5588
0	0.5334
0	0.508
0	0.4826
0	0.4572
0	0.4318
0	0.4318
0	0.4064
0	0.4318
0	0.4318
0	0.4318
0	0.4318
0	0.4318
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.2286
1.8	0.2032
1	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
3.3	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.1524
3.8	0.1524
27.9	0.508
18.5	0.508
7.6	0.5334
0.5	0.2794
4.8	0.2794
0	0.254
0	0.1778
0	0.1778
0	0.1778
1.8	0.1778
3.8	0.1778
0.5	0.1778
16.3	0.3302
9.7	0.5334
0	0.3048
0	0.2286
0	0.2032
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
21.3	0.3302
42.9	1.0414
14.2	1.27
0	0.4826
0	0.2794
10.7	0.3048
3.6	0.381
0	0.2794
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.1016
9.4	0.127
0.8	0.1778
5.1	0.1524
32.5	0.8128
26.9	1.143
14	2.8702
0	1.1684
1.8	0.6604
25.7	1.4224
8.1	2.8448
0	1.1176
2.5	0.7112
0	0.5334
0	0.4318
0	0.381
3.6	0.3556
0	0.3556
0	0.3302
57.4	3.4798
1.3	4.6482
13.2	1.7272
15.5	3.2766
24.6	4.8768
60.7	16.3576
28.4	17.0942
49.8	14.097
14	20.4978
1.3	9.525
13.7	4.953
3.6	3.7084
12.7	3.2004
102.6	26.162
80.8	55.8038
21.1	22.098
0	11.2014
0	6.1976
0.5	4.2672
0	3.556
4.1	3.683
14.7	6.604
4.8	9.6266
19.1	8.3312
8.9	9.1694
0	6.604
0	4.5212
0	3.4544
0	2.8194
0	2.4384
1.8	2.1336
10.2	2.0574
0	2.0828
0	1.905
0	1.7526
1.3	1.6256
11.9	1.6256
43.7	4.9276
44.2	19.5072
4.3	15.5956
0.8	7.4676
0	4.4704
0	3.302
0	2.6924
0	2.2606
11.4	2.032
14.2	2.4384
0	2.3622
0	2.0828
0	1.8796
0	1.6764
7.9	1.5748
0	1.5748
0	1.4224
0	1.3208
2	1.2192
47	4.3434
16.8	14.8082
1.8	8.8646
6.4	4.699
1	3.4544
0	2.8448
10.4	2.54
9.4	2.4638
30.5	4.7498
22.9	17.6784
1.5	10.4648
1.5	5.4864
3.8	3.8608
0	3.0226
0	2.6162
0	2.286
0	2.0066
0	1.8034
0	1.651
2.3	1.4732
0	1.3208
0	1.1684
0	1.0668
0	1.016
26.4	1.6002
33	3.1496
15.2	12.7762
27.2	7.239
21.3	13.9954
22.1	14.224
0.5	12.7
1.5	7.6708
32.5	10.3632
6.1	9.6266
29	13.97
77	26.162
101.3	82.2452
17	36.1188
8.6	14.4272
32.8	14.478
16.5	18.0086
20.6	14.0716
3.8	10.9982
16.8	8.7122
9.4	7.2898
30.7	11.43
12.4	19.6342
26.4	15.367
9.9	13.5636
0	9.0932
18.3	6.8834
15.5	6.731
4.3	6.1214
30.5	12.0142
0.8	11.7094
50.8	17.399
7.9	16.0274
7.6	9.1186
2.8	6.0452
49.5	7.747
46.2	13.589
2.3	12.4206
12.7	11.176
11.7	11.1252
12.4	8.2804
28.4	10.7696
19.3	13.2842
30.5	21.7424
4.8	19.5326
11.2	13.4366
6.6	10.9728
2.3	8.3566
0	6.1468
19.3	5.2832
7.4	5.7912
0	5.2832
20.1	5.7404
10.7	6.985
11.7	7.6708
1.3	7.2136
43.4	7.9502
9.4	11.8364
0	9.0932
0	6.3754
0	5.0038
0	3.9116
0	3.0988
2.3	2.7432
0.5	2.413
0	2.1082
0	1.905
0	1.7272
0	1.5748
0.3	1.397
0.8	1.27
0	1.1684
5.6	1.0922
18.5	1.4478
12.2	1.651
0.5	1.4478
0	1.2192
0	1.0922
0.8	1.016
21.1	1.0668
10.4	1.397
8.1	2.286
15	3.048
3.6	3.6322
1.5	3.3528
1.8	2.8194
0.8	2.4384
0	2.1336
0	1.8542
0	1.6002
8.6	1.5494
3	1.4224
15.5	1.6764
3	1.8288
11.4	1.7018
7.1	2.1336
13.2	2.6416
9.9	4.8514
0.8	4.2164
2.5	3.0734
17	2.9718
19.8	3.9878
2.3	4.6228
1.5	3.6576
1	2.8956
6.1	2.54
0	2.2352
0	1.9558
0	1.7018
0	1.4986
0	1.2954
0.3	1.2192
0	1.143
5.8	1.0668
2	1.016
0	0.9144
0	0.889
5.3	0.8636
0	0.8128
0	0.762
2.3	0.7366
0.8	0.7112
0	0.6604
0	0.635
0	0.6096
0.5	0.5842
0	0.5842
0	0.5588
9.1	0.6096
0	0.5842
1.3	0.5334
0	0.5334
0	0.508
7.9	0.5588
0	0.5334
0	0.4826
0	0.4572
0	0.4572
0	0.4826
0	0.4572
0	0.4318
0	0.4318
0	0.4064
0	0.381
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3302
0	0.381
0	0.3556
2.5	0.3048
0	0.2794
0	0.254
0	0.254
0	0.2286
0	0.2032
0	0.2032
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2032
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
6.6	0.127
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
1	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
18	0.127
48	1.0668
2.3	0.5588
0	0.2286
0	0.1778
1	0.1524
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0.5	0.1016
11.9	0.127
13	0.4826
0	0.2032
0	0.1524
0.5	0.1524
0.3	0.127
0.5	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.1016
0	0.1016
