P	Q
2.3	5.08
28.4	4.2672
58.2	18.5928
2.5	13.8176
1.5	7.4422
27.4	7.2898
5.3	6.096
0	4.6482
0	3.9878
16.5	4.8768
0.8	6.2738
7.6	5.1054
43.4	17.2974
55.4	21.59
37.1	12.4968
58.9	15.5702
15.5	23.6728
5.6	11.2268
14.2	6.604
7.4	4.445
60.5	18.3388
22.1	26.0604
1.3	25.5778
6.4	18.2626
1.3	14.732
27.9	19.0754
2	16.5862
30.5	17.6276
3	19.5326
0	12.7254
0	8.636
1.3	7.9248
0	7.5184
0	6.096
0	4.9276
0	4.2418
0	3.8354
14.2	4.4196
2.8	6.2484
7.6	5.3848
4.1	4.4196
6.9	4.1402
28.4	5.8166
9.4	6.0706
6.6	8.9408
0	10.6172
0	9.2202
0	6.9596
0	5.8928
0	5.6134
1.8	4.953
0	4.4704
0	3.9116
0	3.2512
0	2.8702
0.8	2.6924
17	2.54
19.6	4.5466
9.7	4.318
16	3.9624
37.8	16.891
21.1	17.8562
4.3	8.6868
0.5	5.6134
15.2	4.8768
13.5	7.1628
14	5.969
36.3	9.7282
18.8	10.5664
4.6	5.969
33.3	10.8458
3.3	19.685
0	14.0462
1.3	11.684
0	9.7536
0	7.3406
12.7	6.4262
3.6	6.5532
0	6.1214
7.6	5.207
0	4.4958
1	3.9116
3.6	3.683
0.5	3.7592
0	4.3688
0	6.223
0	7.7724
5.3	8.6868
15	8.5344
6.6	6.9342
0.5	5.6642
3	4.953
5.3	4.7498
0	4.3434
0	4.318
0	4.6736
18.5	5.461
3.3	6.5278
11.2	7.1628
1.3	6.7818
0	5.842
0	5.3086
6.9	5.2832
1.5	4.9022
0	3.9878
0	3.1496
0	2.8194
0	2.6924
0	2.5908
22.1	2.8956
1.5	3.0988
0	2.8448
2.3	2.6162
8.1	2.7432
0	2.8448
0	2.794
3	2.6924
0.8	2.5654
16.5	2.6416
0.3	2.6416
0	2.5654
2.3	2.413
10.4	2.4638
0	2.6162
1.3	2.4892
0	2.3114
0	2.0828
3.3	1.9558
0	1.8542
3	1.778
1	1.6764
0	1.6002
0	1.4732
1.8	1.2954
0	1.2192
0	1.143
1.8	1.0922
6.1	1.0668
1.5	1.016
0	0.9144
0	0.889
0	0.8636
0	0.8382
0	0.8128
0	0.7874
0	0.7874
0	0.762
0	0.7366
6.4	0.7366
0	0.8128
0	0.762
1.8	0.7366
7.9	0.7366
14.7	0.8382
17.8	1.5494
5.1	3.0226
0	2.4892
0	2.032
5.3	1.778
1.5	1.6256
0.3	1.4732
0	1.2954
0	1.1938
2.8	1.1176
4.6	1.0668
6.6	1.016
3.6	1.016
1.3	0.9398
0	0.889
0	0.8636
0	0.8128
0	0.762
0	0.762
0	0.762
0.5	0.7366
0	0.7366
0	0.7366
0	0.7112
0	0.7112
0	0.7112
0	0.6858
0	0.6858
0	0.6604
0	0.6604
0	0.635
0	0.6096
0.8	0.6096
0	0.6096
0	0.5842
0	0.5588
0	0.5334
0	0.5334
5.1	0.5334
3.3	0.5588
0	0.5588
0	0.5334
0	0.5334
0	0.5334
0	0.508
0	0.508
0	0.508
0	0.4826
0	0.4826
0	0.4572
0	0.4318
0	0.4318
0	0.4572
0.8	0.4572
1	0.4572
6.1	0.4572
10.7	0.508
0	0.5334
0	0.4826
1.3	0.4826
0	0.4826
0	0.4826
0	0.4572
0	0.4318
0	0.4064
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0.8	0.3048
0	0.3302
0	0.3302
0	0.3302
0	0.3048
0	0.3302
0	0.3302
1.8	0.3048
1.8	0.3302
1	0.381
2.8	0.3302
0	0.3048
0.8	0.2794
0	0.2794
0.8	0.2794
0	0.254
0	0.2286
0	0.2286
0	0.2032
0	0.2286
0	0.2286
0	0.254
0	0.254
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
7.9	0.2286
18.3	0.6604
0	0.4064
5.8	0.3302
3.8	0.381
0	0.3556
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
15.7	0.381
0	0.5588
0	0.4318
0	0.3302
0	0.3048
0	0.3048
0	0.2794
2.8	0.2794
3.8	0.3048
3	0.3048
0	0.3302
0	0.3048
0	0.3048
0	0.3048
2	0.3048
4.6	0.3048
3.8	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.2286
2.5	0.2286
0.3	0.2286
5.3	0.254
0	0.2794
10.2	0.3302
0.5	0.4572
0	0.381
17.5	0.4826
10.2	1.6256
2	1.0414
9.9	0.9144
0.5	1.016
0	0.8128
0	0.7366
5.6	0.6858
6.9	0.7874
19.3	1.5748
47.5	4.1402
30.7	6.1214
8.1	3.683
0	2.667
0	2.286
0	1.9558
0	1.8796
0	1.6764
0	1.6256
0	1.5748
0	1.4732
24.9	3.1496
35.3	10.6934
103.9	70.993
19.3	27.8384
33.3	13.0048
38.9	9.1948
29	13.3604
13.5	27.1018
72.9	47.9806
55.4	52.9082
12.4	34.3408
7.6	16.5354
4.8	10.9728
0.5	7.4676
0	5.5118
16	4.445
22.6	10.414
22.1	11.7348
35.3	22.8854
7.9	17.8562
0	10.0584
1	6.6548
52.8	16.4084
16	19.939
0.5	11.4046
0	7.3152
8.1	5.5118
25.7	4.8768
51.6	4.8768
99.1	58.1914
121.9	120.1166
72.1	58.6232
57.9	65.3034
47	37.0586
38.6	43.7388
11.9	20.8534
11.2	12.0396
34	7.9248
18	5.6642
5.8	4.3942
0.8	3.7084
24.1	3.3782
8.6	3.0734
9.4	2.7686
22.6	2.7432
3	3.7338
2.8	3.4798
14	2.9464
6.1	2.6924
38.1	11.4046
0	15.9512
0	9.398
0	6.6802
0	6.477
0	10.5918
0	12.7
0	10.4648
0	10.287
1.8	11.7348
9.7	13.0556
13.5	15.3924
7.1	12.192
49.8	23.6728
30.7	23.0632
27.7	12.9032
29	11.4554
109.5	76.6318
72.6	108.0516
28.2	46.2026
9.1	26.8224
0.5	15.6464
0	10.4902
0	7.1628
0	5.2832
0	4.2672
8.6	3.7846
1.5	4.0386
0	4.191
25.7	4.0132
2.3	3.6576
0.8	3.2004
0	2.8702
2.8	2.6924
15.5	3.4544
8.4	4.6482
0	4.7498
0	4.5212
0	4.0386
0	3.4544
0	2.9972
0	2.7686
15.2	2.6162
15.7	4.2672
0	4.4958
0	3.7592
0	3.175
14.7	2.8448
25.9	5.6642
4.3	6.1976
0	4.8514
0	3.937
0	3.2004
0	2.8194
0	2.5146
0	2.1844
0	1.9812
0	1.8288
0	1.7018
0	1.6002
0	1.4732
0	1.397
0	1.3208
0	1.27
0	1.2192
1.8	1.1938
0	1.143
0	1.0922
0	1.0414
0	0.9906
0	0.9652
0	0.9652
0	0.9144
0	0.889
20.8	0.8636
50.3	4.826
0.8	6.2484
0.5	3.8608
0.3	2.921
0	2.3876
0.5	2.0828
17.8	2.3876
0	2.4638
0	2.1082
0	1.9558
1	1.8288
0	1.7018
0	1.6002
8.4	1.6002
1.3	1.6002
0.8	1.4478
0	1.3462
0	1.2446
0	1.1938
0	1.1938
7.1	1.1938
4.3	1.0922
0	0.9144
54.6	4.0386
36.1	24.4094
11.4	11.6332
10.4	8.3058
1.3	6.8834
3.3	4.9276
6.9	4.191
0	3.5306
0	3.0226
0	2.7178
0	2.4384
0	2.1844
3.3	2.0066
8.9	1.905
0	1.8288
1	1.7018
17.3	1.8034
16.8	2.286
0.5	2.9718
0	3.6576
0	2.9718
0	2.5908
0	2.286
0	2.0066
0	1.8288
0	1.7272
0	1.6002
0	1.4224
11.9	1.5494
0	1.3208
0	1.1938
26.7	1.778
5.1	2.5146
0.3	2.2352
1.5	1.9812
4.8	1.8288
0.5	1.6764
0	1.524
0	1.3716
0	1.2446
0	1.143
0	1.0668
0	1.0414
0	1.0414
0	1.016
0	0.9144
0	0.889
0	0.8636
0	0.8636
0	0.8128
0	0.7874
0	0.762
0	0.762
0	0.762
0.3	0.7366
0	0.7366
3.3	0.7112
10.7	0.7874
0.3	0.7112
0	0.6604
1	0.635
0.5	0.635
0	0.6096
0	0.5842
0	0.5842
0	0.5588
0	0.5588
0	0.5842
0	0.5842
0	0.5842
0	0.5842
0	0.5842
0	0.5588
32.3	0.8128
0	0.9398
0	0.6858
0	0.6096
0	0.5842
0	0.5842
0	0.5334
0	0.5334
0	0.508
0	0.508
0	0.508
0	0.508
0	0.508
0	0.4826
0	0.4572
0	0.4572
0	0.4572
0	0.4318
0	0.4318
0	0.4318
2.5	0.4318
6.1	0.4572
0	0.4572
0	0.4318
0	0.381
0	0.381
0	0.381
0	0.381
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.3556
0	0.3556
0	0.3556
0	0.3302
0	0.3048
0	0.2794
0	0.2794
0	0.2794
5.6	0.2794
0	0.2794
4.6	0.3302
7.6	0.3556
0.5	0.3302
0	0.3048
0	0.2794
0	0.2286
0	0.2286
9.4	0.2286
6.4	0.3556
0	0.3048
10.4	0.3048
0.3	0.381
0	0.3048
6.9	0.3048
6.1	0.381
0	0.4064
0	0.3302
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.2286
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0.5	0.2286
2.5	0.2794
0	0.2794
0	0.254
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
1	0.2286
0	0.254
0	0.254
0	0.254
0	0.2794
0	0.2794
0	0.254
19.6	0.2794
4.3	0.4826
0	0.3048
0	0.254
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0	0.2286
0.5	0.254
34.5	0.635
10.7	1.3208
0	0.7366
6.4	0.7366
2.5	0.6858
0	0.6096
0	0.5588
0	0.508
0	0.4826
0	0.4318
0	0.4064
0	0.4572
0	0.381
12.4	0.4318
0	0.4826
0	0.4318
0	0.4064
0	0.381
0	0.3556
1.3	0.3556
38.6	1.4224
11.9	4.7752
0.5	2.9718
0	1.8796
1.8	1.397
8.4	1.3462
3.8	1.8034
32.8	2.7178
37.8	15.1892
50.8	29.0068
19.6	15.6972
0	12.5222
0	6.5024
0	4.1148
0	3.2004
12.2	3.2258
2.3	2.54
27.7	4.0894
4.6	7.6962
19.8	7.747
2.5	9.0678
2.3	5.588
0	3.8862
39.1	3.937
1.8	5.5118
0	4.4704
0	3.556
0	2.9972
18.5	3.0734
0.5	7.112
0	5.715
6.6	4.2418
0	3.6576
1.3	3.1496
15	3.6068
0	4.2418
0	3.7338
1.3	3.1242
0	2.7178
0	2.4384
0	2.1844
0	1.9558
0	1.8034
0	1.6764
0	1.5494
0	1.397
0	1.3208
0	1.27
0	1.2446
0	1.1938
22.4	1.143
36.1	1.7526
13	1.5494
26.4	1.3716
32.3	1.4478
21.3	12.192
8.4	10.3378
11.2	5.2832
5.3	3.6322
0.5	2.8956
30.2	9.3218
76.5	18.8214
22.1	23.7998
57.7	25.7556
38.4	71.6026
4.8	25.146
29.2	24.7904
0	15.9766
14.5	9.1948
6.6	9.271
7.1	11.8618
39.4	14.5542
46.7	37.3126
1.5	28.9306
0	14.6304
0	9.2456
0	6.4516
0	4.7752
0	3.8608
3.6	3.2766
0.5	2.8956
28.4	2.7432
21.3	5.4356
0	6.2484
0	4.8006
0	4.1148
0	3.5306
2.3	3.2258
16.8	4.7752
2.5	6.2484
0	4.7498
0	3.81
0	3.2512
2.3	3.3782
2.8	4.6736
10.9	4.8768
2.3	4.699
14.7	4.3942
29.7	5.6896
1.8	6.2992
19.6	5.842
1.8	5.6896
0.5	4.6482
10.2	4.5466
0	3.9624
0	3.0734
0	2.794
0	2.7432
7.4	3.1496
2.5	4.8514
0	5.6134
3.8	5.842
1.5	6.8072
0	5.7658
3.8	5.08
5.1	4.953
13.2	5.08
15.5	8.509
6.1	7.8232
3	5.969
1.5	4.4196
10.7	3.937
5.3	5.2832
20.3	7.747
11.7	11.557
36.1	17.3736
44.5	36.2966
1	24.7396
0	12.2936
1.5	9.7028
17.5	12.5476
9.1	13.9954
18.3	12.8524
8.9	10.414
0.8	7.9756
8.1	7.6454
18.5	8.9408
24.6	8.7884
7.9	8.3058
0	7.0358
0	7.4168
0	7.2644
0	7.1882
0	7.0104
0	6.985
0	6.6294
0	6.1722
0	5.8166
0	5.1816
0	4.8768
0	4.5212
0	3.8862
0	3.2766
0	2.8702
0	2.7432
0	2.54
0	2.3876
8.1	2.2352
24.4	2.5654
12.7	2.8956
1.8	3.302
0	2.9718
0	2.6416
0	2.3876
0	2.1844
0	2.0066
0	1.8542
0	1.7272
3.3	1.6256
1.8	1.5494
0	1.397
0	1.2954
0	1.2192
0.8	1.1684
1.5	1.0922
0.3	1.016
0	0.9652
0	0.889
0	0.8636
0	0.8382
0	0.8382
0	0.8128
0	0.8128
12.4	0.8128
8.1	0.8636
0	0.8128
0	0.762
0	0.7366
0	0.7112
0	0.6858
0	0.6604
0	0.635
0.5	0.635
15.5	0.6858
2	0.762
0	0.7112
0	0.6604
0	0.635
0	0.5842
2.5	0.5588
0	0.5588
0	0.5334
0	0.5334
0	0.5334
0	0.5334
0	0.5334
0	0.5334
0	0.5334
0.5	0.5334
1.3	0.5334
6.9	0.5334
2.8	0.5334
1.3	0.5334
0	0.508
0	0.508
0.8	0.508
0	0.4826
0	0.4826
0	0.4572
5.6	0.4572
4.6	0.4572
0	0.4572
0	0.4572
0	0.4572
1.5	0.4572
0	0.4572
0	0.4572
0	0.4318
0	0.4318
0	0.4318
0	0.4064
2.5	0.381
1.3	0.3556
0.3	0.3048
0	0.2794
0	0.2794
0	0.3048
0	0.381
0	0.4318
1.3	0.4318
17.8	0.4572
9.7	0.4572
0	0.4318
0	0.3302
1.5	0.3302
0	0.3302
0	0.3556
0	0.3302
6.1	0.3302
0	0.3556
4.6	0.3302
4.8	0.3556
0	0.4064
0	0.4064
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.3048
0	0.2794
0	0.3048
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.254
0	0.2286
0	0.2286
0	0.2794
0	0.254
0	0.2286
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.2286
0	0.2032
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2286
0	0.1778
0	0.1778
0	0.2032
0	0.2794
4.8	0.1778
0.3	0.2032
1.8	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0	0.1524
0.8	0.1524
9.7	0.2032
0	0.2286
0	0.1778
6.4	0.2032
0	0.2032
0	0.1778
19.6	0.2032
3.6	0.5588
0	0.2794
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0.3	0.1524
0.8	0.1524
3.3	0.1524
0.5	0.1524
0	0.1524
0	0.1524
0	0.127
1.5	0.127
6.6	0.1778
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.1524
0	0.1524
0	0.1524
0	0.127
0.8	0.1524
31.2	0.381
0	0.5588
0	0.254
0	0.1778
0	0.1778
0	0.1778
0	0.1524
12.2	0.1016
59.7	3.2004
16.8	2.7432
56.6	16.6624
5.3	8.3566
0	3.2004
0	1.9558
11.4	1.9304
0	1.6256
0	1.1684
0	0.9398
0	0.8636
0	0.8128
0	0.7874
0	0.762
0	0.762
0	0.5842
15.2	1.016
2	1.7018
2.3	0.9652
0	0.8636
22.1	1.524
30.7	7.0866
70.1	32.9438
10.7	22.0726
21.8	9.0424
65.8	31.0896
41.1	34.1122
13.2	21.463
1.3	10.4648
0.5	5.7658
23.9	6.5532
3.6	10.0584
5.1	6.5278
2	4.9276
0	3.7338
0	3.0734
20.1	4.572
0	5.3848
0	3.7846
4.8	3.2004
5.8	2.8448
9.7	3.3528
12.2	7.6708
6.4	5.588
2	4.1656
46.2	9.3218
17.3	12.5984
24.1	12.319
39.6	12.2428
13.5	7.366
33.3	7.8486
13.5	22.2758
19.3	22.5552
23.1	29.7942
33.5	28.194
0	19.558
0	10.1346
0	6.2738
0	4.5974
0	3.4798
1.5	2.921
5.3	2.8194
0	2.5146
0	2.2606
7.6	2.2352
16.8	2.54
11.4	7.2644
0	4.826
0	3.3274
2.3	2.794
10.7	3.3528
0.3	3.7592
11.7	3.2004
9.1	6.9342
1.5	5.6642
35.8	12.3444
16.5	12.6238
11.9	7.5946
15	5.588
0	4.5212
0	3.6576
0	3.4798
12.7	4.3688
7.1	14.1478
42.7	13.2334
13.2	26.9494
3	14.0462
10.9	9.2456
5.8	7.3914
0	5.8674
0	4.572
30.5	4.953
51.6	18.542
16.8	14.4272
0	7.7216
0.3	5.588
6.1	4.3688
9.4	4.064
80.5	24.638
36.1	42.5704
39.9	48.514
8.6	20.2692
12.4	13.6398
0.3	11.5824
12.2	8.5598
0	7.3152
0	5.842
2	4.5212
0.8	3.6576
0	3.0226
0	2.7178
0	2.4892
2	2.2352
1.5	2.032
1.8	1.8542
0	1.7018
29.7	2.413
12.2	2.4384
24.9	2.5654
39.6	8.89
32.8	30.3784
3	20.2692
0	8.89
0	6.0706
0	4.953
0	3.9116
0	3.3528
1.3	2.9464
3.6	2.9718
0	2.8448
0	2.6162
6.9	2.6416
22.1	3.4036
5.1	4.5466
0	4.0386
0	3.302
0	2.8702
0	2.667
0	2.4638
4.6	2.3114
32.5	2.8702
15.5	3.3782
0.8	3.0988
0.5	3.175
8.9	3.556
0	3.7084
0	3.7084
10.2	8.5852
14.7	10.0584
8.1	12.2936
4.8	8.1788
8.9	6.1722
1.3	5.8928
6.6	5.2578
18.3	5.3086
4.3	6.731
3	5.842
0.8	4.572
0	3.5306
8.6	3.048
10.4	2.8956
8.1	3.175
2.3	3.683
0	3.9878
0	3.5814
6.9	3.1242
2.3	2.921
6.1	2.794
0	2.6162
0.8	2.3876
0	2.2098
1.3	2.0066
5.1	1.9812
0	1.778
0	1.6256
15.5	2.0066
4.8	2.1844
0.5	2.2352
14	2.4892
1.8	2.921
8.6	3.8608
3.3	4.2672
0	3.5814
0.3	2.921
1	2.5654
0.8	2.3114
4.1	2.0574
13.5	2.032
6.9	2.3368
4.1	2.4892
1.3	2.3876
0.8	2.2098
0.5	2.0574
0	1.9304
0	1.651
0	1.5494
0	1.397
0	1.2446
0	1.1684
0	1.0922
0	1.0668
14.5	1.3716
13	1.5494
8.6	2.159
0.5	2.1336
0	1.9558
0	1.651
0	1.4732
0	1.3208
0	1.2192
0	1.1176
0	1.0414
0	0.9652
0	0.889
0	0.889
0	0.8382
0	0.8128
0	0.7874
0	0.7874
0.3	0.762
8.1	0.8382
7.4	0.8382
10.7	1.0668
1	0.9398
5.1	1.016
0.5	0.9398
0	0.8382
0	0.7874
0.3	0.7366
0	0.7366
0	0.7112
0	0.6858
0	0.6858
0	0.6604
0	0.6604
1	0.6604
0	0.635
0	0.635
0	0.6096
0	0.6096
0	0.5842
0	0.5588
0	0.5588
0.8	0.5842
3.6	0.5842
2.8	0.6096
0.3	0.5588
0	0.508
0	0.4826
0	0.4826
0	0.4572
0	0.4826
0	0.4826
0	0.4572
0	0.4572
0	0.4318
0	0.4572
0	0.4318
0	0.4572
0	0.4572
0	0.4318
0	0.4318
0	0.4318
0	0.4064
0	0.4318
0	0.4318
0	0.4318
0	0.4064
0	0.4318
0	0.4064
0	0.381
0	0.3556
0	0.3556
0	0.381
0	0.3556
0	0.3556
0	0.3302
0	0.3556
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.1778
0	0.1524
0	0.1778
0	0.1778
0	0.1524
0	0.1778
0	0.1778
0	0.1524
0	0.1524
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.1524
30.7	0.2286
10.9	0.7366
0	0.3302
0	0.2286
0	0.2032
0	0.1778
0	0.1778
1	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1778
0	0.1524
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
0	0.127
12.7	0.2286
24.6	0.6096
37.1	2.5908
21.3	2.3368
16.5	4.1656
6.1	1.8796
8.4	1.4986
0.5	1.2954
0	0.9144
0	0.8128
0	0.6858
0.5	0.6096
20.6	1.397
1.5	1.5494
16	1.778
2	2.3876
0	1.778
0	1.2192
0	0.9398
2.5	0.8382
0	0.762
0	0.6858
35.8	5.1308
32.5	6.7818
9.1	11.5316
20.1	5.334
5.3	7.4676
0	4.318
91.2	26.289
8.6	24.9936
0	8.0772
0	4.8006
0.3	3.4036
0.8	2.7178
0	2.3368
0	2.0066
0	1.7526
0	1.5494
0	1.3462
0	1.2192
18.5	1.651
34.8	5.9944
42.4	21.5646
5.1	18.9484
0	8.2296
3.3	4.8006
8.1	3.9624
0	3.2004
0	2.7432
0	2.4384
1.5	2.2098
0	1.9304
0	1.7018
0	1.5494
0	1.397
2.8	1.27
5.3	1.3208
1.8	1.1938
0	1.0922
0	1.0414
10.4	1.0922
36.8	7.4676
7.6	5.7658
1	4.4196
23.6	8.1026
22.1	10.414
24.9	13.7414
20.6	13.4366
11.9	6.9596
8.6	4.8006
2	3.81
9.1	5.588
5.1	9.0932
2.5	13.4112
3.8	7.2898
0	4.3434
0	3.2258
0	2.6924
4.6	2.413
9.9	2.1844
6.4	1.9812
4.6	1.7018
6.6	1.5748
39.9	1.5748
46.5	9.9568
6.1	22.0726
0	12.954
5.8	10.8204
3.3	16.9418
1.3	13.2588
0	9.2202
0	6.1976
0	4.445
2.5	3.5052
18.8	4.9022
1.3	4.6228
0	3.7338
0	3.048
2	2.7178
0	2.3876
25.1	2.5146
19.6	3.9878
41.9	16.3322
13.7	15.1892
1.8	6.4516
3.6	4.4196
3.3	6.3754
32	14.8336
17.5	22.2758
20.1	12.3952
3.3	7.2898
0	5.5118
7.6	5.334
4.8	8.2804
0	6.8072
0	5.08
0	3.9116
1.3	3.175
8.1	2.794
7.9	2.6162
0	2.286
1	2.0828
16.5	1.9812
6.1	1.8542
26.2	1.9304
8.9	3.0988
22.9	16.51
15.5	29.8704
26.9	18.5674
0	13.843
0	7.8232
0	4.8514
0	3.6322
0	2.9718
0	2.7178
0	2.3876
0	2.1082
0	1.8796
0	1.7018
0	1.6002
2	1.4986
28.4	2.2606
12.2	3.9878
46.5	11.3538
25.1	20.066
47.5	31.877
61	28.1432
30	43.1038
0	15.0368
0	8.6614
0	5.6388
0	4.0894
0	3.1496
0	2.7178
0	2.4638
0	2.1844
0	1.9558
0	1.8034
14	1.8542
0	1.651
4.3	1.5494
0	1.3716
0	1.2446
0	1.143
1.5	1.1176
6.9	1.1176
3.6	1.1176
7.6	1.1938
0.3	1.1684
12.4	1.6002
4.6	2.3114
1	2.159
0	1.8542
0	1.651
0	1.524
0	1.3716
14	1.3716
13.5	1.6256
45.2	9.2964
2	9.8298
11.2	5.461
4.6	6.1468
1	4.953
0	3.5306
0	2.8448
3	2.4638
1.8	2.1336
0	1.8542
15.2	1.8288
10.2	3.048
8.4	3.0988
1.5	3.5052
0	3.0734
0	2.667
0	2.3876
0	2.0828
0	1.905
0	1.7018
6.9	1.651
10.4	1.7526
5.8	1.5494
0	1.27
1.3	1.1938
4.3	1.143
2.8	1.0922
0.3	0.9906
0	0.9144
8.9	1.0414
0	0.9144
5.3	0.9144
3.6	0.9652
0	0.9398
0	0.889
0	0.8636
3.6	0.8636
0	0.8382
0	0.7874
0	0.7874
1	0.762
5.1	0.8382
1	0.762
0	0.7366
0	0.7112
0	0.6858
0	0.6604
0	0.635
2	0.635
0.8	0.635
0	0.6096
0	0.5842
0	0.5588
0	0.5588
0	0.5588
26.2	0.8382
17.5	1.1938
9.4	1.5494
8.9	1.4732
6.6	1.8796
8.6	1.8796
21.1	5.588
19.6	9.9314
0	7.0612
0	3.6576
0	2.54
0	2.0066
0.8	1.7526
3.6	1.6002
12.2	1.6256
0	1.3208
0	1.1176
0	1.0414
0	0.9398
0	0.9144
0	0.8636
0	0.8382
0	0.8128
0	0.7874
0	0.7366
1.5	0.7366
0	0.6858
0	0.6604
0	0.635
0	0.6096
0	0.6096
0	0.6096
0	0.5842
0	0.5588
28.7	1.143
0	0.7112
0	0.6096
0	0.5588
0	0.5334
0	0.5588
13.5	0.6096
1.3	0.6096
0	0.5334
0	0.5334
0	0.4826
0	0.4826
0	0.4826
0	0.4826
0	0.4572
0	0.4572
0	0.4064
0	0.4064
0	0.4064
0	0.4318
6.6	0.4572
0	0.4064
0	0.381
0	0.3556
0	0.3556
0	0.3556
0	0.3302
3.8	0.3556
0	0.3302
0	0.3302
0	0.3048
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.2286
0	0.254
0.5	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.254
0	0.2794
0.3	0.2794
5.3	0.2794
0	0.2794
0	0.2286
7.1	0.254
29	1.0414
6.9	0.4572
6.4	0.4826
14.7	0.4318
11.4	0.7874
10.7	1.1684
0.3	0.6096
0	0.4826
0.8	0.4064
16.5	0.6858
6.1	0.6096
24.1	1.8288
14.5	2.4638
6.4	1.778
0	1.1684
0	0.8382
0	0.7112
0	0.635
0	0.6096
0	0.5588
0	0.5334
0	0.5334
0	0.4826
0	0.4318
0	0.3556
0	0.3556
0	0.3302
0	0.3302
0	0.3302
0	0.3302
30.2	0.635
26.9	2.159
13.2	4.7244
0	2.3368
0	1.4732
14.5	1.651
8.4	1.651
1.8	1.8288
0.5	1.5494
0	1.2192
0	0.9906
0	0.889
0	0.8128
0	0.762
0	0.7112
0	0.6858
0	0.635
0	0.635
0	0.6096
0	0.5842
0	0.5842
8.1	0.6604
0	0.5842
6.4	0.6096
0	0.6096
0	0.5588
0.8	0.508
14.7	0.889
51.3	7.3406
13.5	10.033
1.8	5.4356
36.3	6.2738
23.4	14.097
0	9.8298
6.1	4.7498
1.5	3.4036
11.4	2.8702
29.7	13.6906
1	10.3378
12.4	6.7056
0	5.2324
0	3.9116
0.3	3.0226
0	2.54
0	2.2098
0	1.9812
13.2	1.9812
16	3.3274
0	3.7592
10.9	3.0226
24.4	10.414
0	8.3566
0	4.7244
2.8	3.3274
14	3.0226
14.5	4.6736
142.2	64.5668
7.1	44.7548
18.5	16.51
42.4	18.7198
25.7	22.7838
4.1	14.9098
2.3	9.7282
5.3	6.4262
0.8	5.1308
17.8	4.8514
15.5	11.2268
0	10.3378
1.8	6.0452
27.4	6.3246
10.2	10.7188
0	8.0772
17	6.985
2.5	6.8072
6.1	5.461
2.8	4.8768
0	4.0894
8.1	3.6576
16.5	3.302
17.3	4.1656
22.4	5.0546
24.1	12.7
103.4	71.3486
10.7	35.8394
0	13.5636
4.3	8.1026
2	5.5118
10.9	5.1816
18.3	7.3914
27.7	9.8552
5.1	9.7282
7.6	6.4262
5.8	6.35
23.1	7.3152
33	8.8392
2.8	6.1722
29	5.3848
3.3	4.318
0	3.3782
0	2.9464
36.8	3.429
20.6	12.3444
17	18.0594
2.8	13.0048
19.1	8.255
55.9	13.2842
7.1	16.0782
10.9	6.8326
30.5	4.445
5.1	3.6322
22.9	12.9794
1.5	13.462
13.7	17.8308
5.8	22.4028
17.5	32.2326
12.2	37.592
